product	sequences	frame	codon	num_defined_seqs	nonamer_counts	multiple_variants	NN_sites	SN_sites	NS_sites	SS_sites	NN_diffs	SN_diffs	NS_diffs	SS_diffs
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	2	21	2:19	FALSE	1.16428571428571	1	0.830952380952381	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	3	21	2:19	FALSE	1.66666666666667	0.333333333333333	1	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	4	21	21	FALSE	2	0.333333333333333	0.666666666666667	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	5	21	1:2:1:17	FALSE	2	1	0	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	6	20	1:1:1:1:17	TRUE	1.68253968253968	0.920634920634921	0.380952380952381	0.0158730158730159	0.271428571428571	0.0952380952380952	0.166666666666667	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	7	10	1:1:1:1:7:4:6	FALSE	0.933333333333333	0.166666666666667	1.73333333333333	0.166666666666667	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	8	10	1:4:3:2:1:3:1:6	FALSE	1.22424242424242	1	0.393939393939394	0	0	0	0.509090909090909	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	9	11	3:1:1:2:2:1:3:1:2:4:1	TRUE	1.9047619047619	0.349206349206349	0.73015873015873	0.0158730158730159	0.280952380952381	0.404761904761905	0.114285714285714	0.0476190476190476
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	10	20	1:4:8:1:1:2:1:2:1	TRUE	1.70833333333333	0.4	0.891666666666667	0	0.163157894736842	0.478947368421053	0.0315789473684211	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	11	20	1:1:6:2:9:1:1	FALSE	1.5	1.02380952380952	0.428571428571429	0.0476190476190476	0	0.319047619047619	0	0.019047619047619
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	12	20	3:1:1:1:1:14	FALSE	1.76666666666667	0.333333333333333	0.9	0	0.394736842105263	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	13	20	1:3:2:1:13:1	FALSE	1.23809523809524	1	0.761904761904762	0	0	0.514285714285714	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	14	21	5:13:1:2	TRUE	1.15873015873016	1	0.841269841269841	0	0	0.180952380952381	0.0952380952380952	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	15	21	18:2:1	FALSE	1	1	1	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	16	21	16:5	FALSE	0.666666666666667	1	1.33333333333333	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	17	21	16:5	FALSE	1.66666666666667	1	0.333333333333333	0	0	0.380952380952381	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	18	21	16:5	FALSE	1.67460317460317	0.5	0.825396825396825	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	19	19	2:19	FALSE	1.57142857142857	0.904761904761905	0.428571428571429	0.0952380952380952	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	20	19	2:18:1	FALSE	1	1	1	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	21	19	2:10:2:6:1	TRUE	1.6031746031746	1	0.396825396825397	0	0.180952380952381	0.0952380952380952	0.180952380952381	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	22	21	10:2:6:1:2	FALSE	0.828571428571429	1	1	0	0	0	0.60952380952381	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	23	21	1:9:2:1:1:6:1	FALSE	2.33333333333333	0.333333333333333	0.333333333333333	0	0	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	24	21	1:1:1:2:13:1:1:1	TRUE	0.717460317460318	0.968253968253968	0.666666666666667	0	0.185714285714286	0.176190476190476	0.266666666666667	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	25	21	1:1:1:2:11:2:1:1:1	TRUE	1.40714285714286	0.880952380952381	0.711904761904762	0	0.252380952380952	0.0904761904761905	0.347619047619048	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	26	21	2:13:2:1:1:1:1	FALSE	1.73015873015873	0.428571428571428	0.841269841269841	0	0.257142857142857	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	27	21	16:1:1:3	FALSE	1.66666666666667	0.333333333333333	1	0	0.257142857142857	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	28	21	16:1:1:3	TRUE	1.95238095238095	0.333333333333333	0.714285714285714	0	0.0952380952380952	0.0952380952380952	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	29	21	14:5:1:1	TRUE	1.25396825396825	0.333333333333333	1.41269841269841	0	0	0.0952380952380952	0.0952380952380952	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	30	21	1:1:14:5	TRUE	2.33333333333333	0.333333333333333	0.333333333333333	0	0	0.0952380952380952	0.380952380952381	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	31	21	1:1:3:2:9:5	FALSE	1.95238095238095	1	0.0476190476190476	0	0.0952380952380952	0	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	32	21	1:3:1:1:1:14	TRUE	1.73809523809524	0.777777777777778	0.484126984126984	0	0.647619047619048	0.0857142857142857	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	33	21	3:1:1:1:1:9:5	FALSE	1.6031746031746	1	0.396825396825397	0	0	0.180952380952381	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	34	21	9:1:2:1:6:1:1	TRUE	1.57142857142857	0.396825396825397	1.03174603174603	0	0.60952380952381	0	0.0952380952380952	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	35	21	9:1:1:2:1:6:1	FALSE	1.47619047619048	1	0.523809523809524	0	0	0.657142857142857	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	36	21	1:1:1:1:9:1:2:5	FALSE	1.11111111111111	1	0.888888888888889	0	0	0.266666666666667	0	0
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	37	21	10:1:2:5:1:1:1	TRUE	1.65873015873016	0.96031746031746	0.325396825396825	0.0555555555555556	0	0.838095238095238	0	0.00952380952380952
../../../Sarbecovirus_n21_ALN_FINAL_v2_N.fasta	all	ss13	38	21	10:1:1:2:1:4:2	TRUE	1.07698412698413	1	0.923015873015873	0	0	0.257142857142857	0.0952380952380952	0
